Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
324,P40,limu amani,4,15,limu amuni,limu amuni,6,7,6,6,2,6,1,1,1
325,P40,bahare naranj,5,10,bahare naranj,bahar naranj,7,7,7,7,7,5,1,1,1
326,P40,zire,6,11,zire,zire,7,7,7,7,7,5,1,1,1
327,P40,behlimu,7,16,limu,N/A,7,6,6,5,5,3,0,999,N/A
328,P40,raziyune,8,8,raziyune,raziyune,7,7,7,7,7,2,1,1,1
329,P40,za'ferun,9,7,zaferun,zaferun,7,7,7,7,7,7,1,1,1
330,P40,rozmari,10,3,N/A,N/A,3,5,5,1,3,2,999,999,N/A
331,P40,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
332,P40,ostokhoddus,12,2,limu amuni,N/A,4,7,6,7,2,7,0,999,N/A
333,P40,rishmak/shirin bayan,13,1,nescafe. ghahve,ghahve,7,7,7,7,7,7,0,0,1
334,P40,avishan,14,5,avishan,avishan,7,7,7,7,5,5,1,1,1
335,P40,mikhak,15,4,mikhak,mikhak,7,7,7,6,5,3,1,1,1
336,P40,okaliptus,16,6,okaliptus,okaliptus,7,7,7,1,7,1,1,1,1
337,P42,babune,1,13,N/A,N/A,4,4,2,2,5,1,999,999,N/A
338,P42,zardchube,2,14,zardchube,N/A,7,7,7,5,3,2,1,999,N/A
339,P42,na'na,3,9,na'na,na'na,7,7,7,7,7,6,1,1,1
340,P42,limu amani,4,15,limu amuni,N/A,7,2,2,1,6,1,1,999,N/A
341,P42,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,6,7,1,1,1
342,P42,zire,6,11,zire,zire,7,7,7,5,3,5,1,1,1
343,P42,behlimu,7,16,N/A,N/A,7,5,5,3,5,1,999,999,N/A
344,P42,raziyune,8,8,N/A,N/A,7,6,6,4,2,1,999,999,N/A
345,P42,za'ferun,9,7,N/A,N/A,6,5,4,2,5,1,999,999,N/A
346,P42,rozmari,10,3,N/A,N/A,5,4,4,1,5,4,999,999,N/A
347,P42,darchin,11,12,darchin,darchin,7,7,7,7,1,7,1,1,1
348,P42,ostokhoddus,12,2,limu amuni,N/A,7,5,5,6,2,2,0,999,N/A
349,P42,rishmak/shirin bayan,13,1,ghahve,N/A,4,5,5,3,1,2,0,999,N/A
350,P42,avishan,14,5,avishan,avishan,7,7,7,7,3,5,1,1,1
351,P42,mikhak,15,4,hel,hel,7,6,6,6,2,1,0,0,1
352,P42,okaliptus,16,6,limu amuni,limu amuni,7,2,5,5,4,2,0,0,1
353,P26,babune,1,13,kari,roghan karchak,7,2,1,1,3,4,0,0,0
354,P26,zardchube,2,14,viks,N/A,7,3,2,2,5,1,0,999,N/A
355,P26,na'na,3,9,na'na,na'na,7,7,7,7,3,7,1,1,1
356,P26,limu amani,4,15,zanjebil,limu amuni,2,6,6,7,2,7,0,1,0
357,P26,bahare naranj,5,10,kerem,N/A,6,4,5,3,6,2,0,999,N/A
358,P26,zire,6,11,zire,zire,6,7,7,7,3,7,1,1,1
359,P26,behlimu,7,16,sheved,N/A,6,1,2,3,5,1,0,999,N/A
360,P26,raziyune,8,8,rozmari,zanjebil,7,4,3,5,6,4,0,0,0
361,P26,za'ferun,9,7,chayi,N/A,4,7,6,6,3,7,0,999,N/A
362,P26,rozmari,10,3,N/A,N/A,4,4,3,5,2,3,999,999,N/A
363,P26,darchin,11,12,darchin,darchin,3,6,4,5,1,7,1,1,1
364,P26,ostokhoddus,12,2,N/A,chayi,4,6,3,2,6,7,999,0,N/A
365,P26,rishmak/shirin bayan,13,1,ghahve,N/A,6,3,5,1,6,2,0,999,N/A
366,P26,avishan,14,5,babune,babune,7,6,5,6,7,6,0,0,1
367,P26,mikhak,15,4,N/A,N/A,7,7,4,2,6,7,999,999,N/A
368,P26,okaliptus,16,6,saghez,saghez,7,6,7,6,2,4,0,0,1
369,P29,babune,1,13,N/A,N/A,5,3,3,3,5,3,999,999,N/A
370,P29,zardchube,2,14,zardchube,zardchube,7,7,7,7,6,7,1,1,1
371,P29,na'na,3,9,avishan,avishan,7,7,7,7,7,7,0,0,1
372,P29,limu amani,4,15,N/A,behlimu,7,6,6,6,7,6,999,0,N/A
373,P29,bahare naranj,5,10,N/A,nabat,7,7,7,7,7,7,999,0,N/A
374,P29,zire,6,11,zanjebil,zanjebil,7,7,5,6,7,5,0,0,1
375,P29,behlimu,7,16,barge behlimu,N/A,7,7,7,7,7,6,1,999,N/A
376,P29,raziyune,8,8,N/A,N/A,7,6,6,6,5,5,999,999,N/A
377,P29,za'ferun,9,7,zaferun,za'ferun,7,6,5,4,5,4,1,1,1
378,P29,rozmari,10,3,N/A,N/A,5,6,6,6,6,6,999,999,N/A
379,P29,darchin,11,12,darchin,darchin,7,7,7,7,7,6,1,1,1
380,P29,ostokhoddus,12,2,N/A,N/A,7,6,6,6,5,5,999,999,N/A
381,P29,rishmak/shirin bayan,13,1,N/A,N/A,7,4,3,2,6,4,999,999,N/A
382,P29,avishan,14,5,avishan,avishan,7,7,7,7,6,7,1,1,1
383,P29,mikhak,15,4,N/A,N/A,7,4,4,3,3,3,999,999,N/A
384,P29,okaliptus,16,6,N/A,N/A,5,6,6,6,5,5,999,999,N/A
385,P31,babune,1,13,N/A,N/A,7,5,4,4,6,4,999,999,N/A
386,P31,zardchube,2,14,zardchube,zardchube,7,7,5,6,2,7,1,1,1
387,P31,na'na,3,9,pune kuhi-na'na,na'na/pune,7,7,6,6,6,6,1,1,1
388,P31,limu amani,4,15,limu amani,limu amani,7,7,6,7,4,6,1,1,1
389,P31,bahare naranj,5,10,N/A,bahar naranj,4,6,7,6,4,6,999,1,N/A
390,P31,zire,6,11,zire,zire,7,7,6,7,5,6,1,1,1
391,P31,behlimu,7,16,N/A,N/A,7,6,6,6,5,4,999,999,N/A
392,P31,raziyune,8,8,N/A,N/A,7,7,6,5,5,5,999,999,N/A
393,P31,za'ferun,9,7,N/A,za'ferun,5,7,5,7,7,6,999,1,N/A
394,P31,rozmari,10,3,N/A,N/A,1,2,4,6,6,3,999,999,N/A
395,P31,darchin,11,12,darchin,darchin,5,7,7,7,5,6,1,1,1
396,P31,ostokhoddus,12,2,zanjebil,na'na,6,6,6,6,6,5,0,0,0
397,P31,rishmak/shirin bayan,13,1,N/A,N/A,5,2,2,2,5,3,999,999,N/A
398,P31,avishan,14,5,N/A,N/A,7,7,4,3,6,6,999,999,N/A
399,P31,mikhak,15,4,N/A,N/A,7,2,3,3,5,2,999,999,N/A
400,P31,okaliptus,16,6,viks,limu amuni,7,6,5,6,6,7,0,0,0
401,P32,babune,1,13,N/A,N/A,4,1,1,1,1,1,999,999,N/A
402,P32,zardchube,2,14,zardchube,zardchube,7,7,3,3,1,3,1,1,1
403,P32,na'na,3,9,na'na,na'na,6,6,6,7,4,5,1,1,1
404,P32,limu amani,4,15,somaq,somaq,5,6,4,4,1,2,0,0,1
405,P32,bahare naranj,5,10,gole mohammadi,bahar naranj,6,6,6,1,1,1,0,1,0
406,P32,zire,6,11,N/A,zire,5,6,4,4,5,1,999,1,N/A
407,P32,behlimu,7,16,N/A,N/A,7,5,5,6,3,1,999,999,N/A
408,P32,raziyune,8,8,N/A,zire,7,7,5,5,5,3,999,0,N/A
409,P32,za'ferun,9,7,zafarun,za'ferun,5,7,7,7,2,6,1,1,1
410,P32,rozmari,10,3,hana,N/A,3,3,1,3,5,1,0,999,N/A
411,P32,darchin,11,12,darchin,darchin,6,7,7,7,1,6,1,1,1
412,P32,ostokhoddus,12,2,N/A,N/A,7,7,5,5,6,3,999,999,N/A
413,P32,rishmak/shirin bayan,13,1,risheye mahak,risheye mahak,4,7,2,5,6,5,1,1,1
414,P32,avishan,14,5,zenyun,avishan,6,7,5,7,5,5,0,1,0
415,P32,mikhak,15,4,N/A,N/A,7,6,4,3,5,1,999,999,N/A
416,P32,okaliptus,16,6,N/A,N/A,6,1,7,4,5,1,999,999,N/A
417,P33,babune,1,13,babune,N/A,5,7,7,4,7,7,1,999,N/A
418,P33,zardchube,2,14,zardchube,zardchube,7,7,4,1,3,7,1,1,1
419,P33,na'na,3,9,na'na,na'na,7,7,7,7,3,7,1,1,1
420,P33,limu amani,4,15,N/A,N/A,6,5,3,1,7,3,999,999,N/A
421,P33,bahare naranj,5,10,gol,N/A,5,1,1,1,4,1,0,999,N/A
422,P33,zire,6,11,N/A,N/A,4,4,4,1,1,5,999,999,N/A
423,P33,behlimu,7,16,N/A,N/A,6,3,3,1,3,3,999,999,N/A
424,P33,raziyune,8,8,N/A,raziyune,7,7,5,1,2,2,999,1,N/A
425,P33,za'ferun,9,7,shekare suxte,za'ferun,5,7,5,6,3,3,0,1,0
426,P33,rozmari,10,3,avishan,N/A,5,7,4,2,7,6,0,999,N/A
427,P33,darchin,11,12,hel,darchin,4,7,6,4,6,7,0,1,0
428,P33,ostokhoddus,12,2,N/A,N/A,6,7,3,3,7,5,999,999,N/A
429,P33,rishmak/shirin bayan,13,1,neskafe,neskafe,5,7,6,6,2,5,0,0,1
430,P33,avishan,14,5,avishan,avishan,7,7,7,7,4,7,1,1,1
431,P33,mikhak,15,4,oud,chube moattar,7,3,5,1,1,1,0,0,0
432,P33,okaliptus,16,6,pomad,N/A,7,4,1,1,6,2,0,999,N/A
433,P36,babune,1,13,felfel,N/A,3,2,4,4,5,2,0,999,N/A
434,P36,zardchube,2,14,zardchube,zardchube,7,7,7,5,5,6,1,1,1
435,P36,na'na,3,9,na'naye khoshk,na'na,7,7,7,7,6,7,1,1,1
436,P36,limu amani,4,15,N/A,N/A,2,2,2,2,6,2,999,999,N/A
437,P36,bahare naranj,5,10,N/A,N/A,7,7,5,5,5,7,999,999,N/A
438,P36,zire,6,11,N/A,N/A,2,2,1,1,6,2,999,999,N/A
439,P36,behlimu,7,16,N/A,N/A,3,2,2,6,5,4,999,999,N/A
440,P36,raziyune,8,8,N/A,N/A,7,7,5,5,7,7,999,999,N/A
441,P36,za'ferun,9,7,N/A,N/A,2,1,1,1,7,1,999,999,N/A
442,P36,rozmari,10,3,N/A,N/A,6,6,3,3,7,3,999,999,N/A
443,P36,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
444,P36,ostokhoddus,12,2,N/A,N/A,7,7,6,6,7,6,999,999,N/A
445,P36,rishmak/shirin bayan,13,1,N/A,ghareye mahk,5,4,1,1,7,2,999,1,N/A
446,P36,avishan,14,5,N/A,N/A,7,7,6,6,7,6,999,999,N/A
447,P36,mikhak,15,4,N/A,N/A,5,5,4,4,6,2,999,999,N/A
448,P36,okaliptus,16,6,okaliptus,okaliptus,7,7,7,7,6,7,1,1,1
449,P43,babune,1,13,babune,babune,6,7,6,7,7,6,1,1,1
450,P43,zardchube,2,14,zardchube,zardchube,7,7,6,7,7,7,1,1,1
451,P43,na'na,3,9,na'na,na'na,7,7,7,7,7,7,1,1,1
452,P43,limu amani,4,15,limu amani,limu amani,7,7,6,7,7,4,1,1,1
453,P43,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,7,6,1,1,1
454,P43,zire,6,11,zire,zire,7,7,6,7,6,6,1,1,1
455,P43,behlimu,7,16,avishan,chaye sabz,5,5,5,6,7,6,0,0,0
456,P43,raziyune,8,8,N/A,N/A,7,7,5,5,6,5,999,999,N/A
457,P43,za'ferun,9,7,za'ferun,za'ferun,7,7,7,7,6,7,1,1,1
458,P43,rozmari,10,3,avishan,jushundeye giahi,5,6,5,6,7,6,0,0,0
459,P43,darchin,11,12,darchin,darchin,7,7,5,6,7,4,1,1,1
460,P43,ostokhoddus,12,2,chaye sabz,chaye sabz,4,7,5,5,7,6,0,0,1
461,P43,rishmak/shirin bayan,13,1,risheye mahk,risheye mahk,4,2,3,2,6,2,1,1,1
462,P43,avishan,14,5,avishan,avishan,7,7,6,4,7,7,1,1,1
463,P43,mikhak,15,4,mikhak,mikhak,7,7,5,4,7,3,1,1,1
464,P43,okaliptus,16,6,viks,viks,7,6,6,3,7,2,0,0,1
465,P44,babune,1,13,N/A,N/A,3,6,6,6,7,2,999,999,N/A
466,P44,zardchube,2,14,N/A,N/A,7,5,4,3,6,2,999,999,N/A
467,P44,na'na,3,9,na'na,na'na,6,7,7,7,7,7,1,1,1
468,P44,limu amani,4,15,limu amuni,limu amani,6,7,6,6,3,5,1,1,1
469,P44,bahare naranj,5,10,N/A,bahar naranj,5,6,6,4,5,5,999,1,N/A
470,P44,zire,6,11,N/A,mikhak,6,5,2,1,7,1,999,0,N/A
471,P44,behlimu,7,16,N/A,N/A,7,4,5,3,6,2,999,999,N/A
472,P44,raziyune,8,8,avishan,N/A,6,6,5,5,6,5,0,999,N/A
473,P44,za'ferun,9,7,chayi atri,darchin,6,7,7,7,7,6,0,0,0
474,P44,rozmari,10,3,N/A,N/A,2,2,4,4,5,5,999,999,N/A
475,P44,darchin,11,12,darchin,darchin,6,7,7,7,6,7,1,1,1
476,P44,ostokhoddus,12,2,limu amuni,N/A,5,5,4,4,6,4,0,999,N/A
477,P44,rishmak/shirin bayan,13,1,N/A,N/A,5,4,6,7,2,2,999,999,N/A
478,P44,avishan,14,5,avishan,avishan,5,7,7,7,7,7,1,1,1
479,P44,mikhak,15,4,N/A,N/A,7,4,4,5,4,3,999,999,N/A
480,P44,okaliptus,16,6,N/A,okaliptus,7,5,4,2,6,2,999,1,N/A
481,P46,babune,1,13,avishan,N/A,7,2,1,2,5,1,0,999,N/A
482,P46,zardchube,2,14,zardchube,zardchube,6,7,2,2,5,7,1,1,1
483,P46,na'na,3,9,na'na,na'na,7,7,6,7,5,5,1,1,1
484,P46,limu amani,4,15,limu amani,limu amani,6,6,2,6,5,2,1,1,1
485,P46,bahare naranj,5,10,gole mohammadi,bahar naranj,4,7,6,4,4,3,0,1,0
486,P46,zire,6,11,kari,zire,7,4,3,6,6,2,0,1,0
487,P46,behlimu,7,16,N/A,gole gavzaban,7,2,3,6,6,2,999,0,N/A
488,P46,raziyune,8,8,tarkhun,tarkhun,6,6,5,7,1,5,0,0,1
489,P46,za'ferun,9,7,zafarun,za'ferun,4,1,7,7,5,7,1,1,1
490,P46,rozmari,10,3,gole gavzabun,N/A,3,1,5,1,7,1,0,999,N/A
491,P46,darchin,11,12,darchin,darchin,4,7,7,6,5,6,1,1,1
492,P46,ostokhoddus,12,2,N/A,limu amani,7,5,3,2,7,2,999,0,N/A
493,P46,rishmak/shirin bayan,13,1,nabate ab shode,nabat dagh,4,2,4,6,1,2,0,0,1
494,P46,avishan,14,5,zenyun,N/A,6,2,2,1,6,2,0,999,N/A
495,P46,mikhak,15,4,mavade bihesi dandun,N/A,7,7,2,1,7,5,0,999,N/A
496,P46,okaliptus,16,6,okaliptus,okaliptus,7,1,1,1,7,1,1,1,1
497,P48,babune,1,13,sedr,sedr,6,6,3,1,5,2,0,0,1
498,P48,zardchube,2,14,zardchube,zardchube,7,7,6,7,4,5,1,1,1
499,P48,na'na,3,9,na'na khoshk,na'na,7,7,6,7,3,5,1,1,1
500,P48,limu amani,4,15,N/A,N/A,5,4,3,2,4,1,999,999,N/A
501,P48,bahare naranj,5,10,bahar,bahar,7,7,5,3,3,5,1,1,1
502,P48,zire,6,11,zire,zire,6,7,7,7,5,3,1,1,1
503,P48,behlimu,7,16,N/A,pudre limu,7,6,5,5,4,3,999,0,N/A
504,P48,raziyune,8,8,rishmak-shirin bayan,rishmak,7,7,1,1,7,3,0,0,1
505,P48,za'ferun,9,7,zaferun,za'ferun,7,7,7,7,2,5,1,1,1
506,P48,rozmari,10,3,rozmari,rozmari,7,7,1,1,3,4,1,1,1
507,P48,darchin,11,12,darchin,darchin,6,7,7,7,3,5,1,1,1
508,P48,ostokhoddus,12,2,N/A,sedr,4,6,3,2,4,2,999,0,N/A
509,P48,rishmak/shirin bayan,13,1,zardchube,N/A,3,2,3,2,5,1,0,999,N/A
510,P48,avishan,14,5,avishan,avishan,7,7,4,6,4,4,1,1,1
511,P48,mikhak,15,4,mikhak,mikhak,7,7,5,7,3,2,1,1,1
512,P48,okaliptus,16,6,okaliptus,okaliptus,7,7,5,5,5,4,1,1,1
513,P15,babune,1,13,N/A,N/A,5,5,4,4,3,4,999,999,N/A
514,P15,zardchube,2,14,N/A,zardchube,6,6,5,5,4,6,999,1,N/A
515,P15,na'na,3,9,shivid,na'na,6,5,4,4,4,5,0,1,0
516,P15,limu amani,4,15,limu amuni,limu amuni,5,6,3,4,5,3,1,1,1
517,P15,bahare naranj,5,10,bahar naranj,bahar naranj,6,6,6,5,4,6,1,1,1
518,P15,zire,6,11,zire,zire,5,5,2,3,5,3,1,1,1
519,P15,behlimu,7,16,N/A,N/A,6,4,3,2,4,3,999,999,N/A
520,P15,raziyune,8,8,N/A,N/A,5,5,3,3,3,4,999,999,N/A
521,P15,za'ferun,9,7,zaferun,zaferun,6,7,6,6,5,6,1,1,1
522,P15,rozmari,10,3,N/A,N/A,4,3,3,3,5,4,999,999,N/A
523,P15,darchin,11,12,darchin,darchin,5,6,5,4,2,6,1,1,1
524,P15,ostokhoddus,12,2,musir,musir,7,6,2,3,5,3,0,0,1
525,P15,rishmak/shirin bayan,13,1,ghahve,ghahve,5,7,7,4,5,6,0,0,1
526,P15,avishan,14,5,avishan,avishan,6,6,4,5,3,3,1,1,1
527,P15,mikhak,15,4,N/A,N/A,7,6,5,4,3,5,999,999,N/A
528,P15,okaliptus,16,6,N/A,N/A,6,6,3,4,3,5,999,999,N/A
529,P16,babune,1,13,N/A,N/A,1,1,2,2,6,3,999,999,N/A
530,P16,zardchube,2,14,zardchube,zardchube,7,7,5,7,4,7,1,1,1
531,P16,na'na,3,9,na'na,na'na,6,6,5,7,2,7,1,1,1
532,P16,limu amani,4,15,N/A,N/A,5,2,2,3,6,4,999,999,N/A
533,P16,bahare naranj,5,10,N/A,bahar,6,7,4,6,6,6,999,1,N/A
534,P16,zire,6,11,zire,zire,7,7,7,7,1,7,1,1,1
535,P16,behlimu,7,16,N/A,N/A,5,4,4,5,4,5,999,999,N/A
536,P16,raziyune,8,8,viks,N/A,5,4,4,5,4,4,0,999,N/A
537,P16,za'ferun,9,7,nabat,nabat daq,7,6,2,7,7,7,0,0,1
538,P16,rozmari,10,3,N/A,pune,3,3,4,4,4,3,999,0,N/A
539,P16,darchin,11,12,N/A,N/A,6,6,5,6,3,6,999,999,N/A
540,P16,ostokhoddus,12,2,N/A,N/A,2,2,1,2,6,4,999,999,N/A
541,P16,rishmak/shirin bayan,13,1,N/A,N/A,2,2,2,3,5,2,999,999,N/A
542,P16,avishan,14,5,pune,avishan,6,6,5,6,2,2,0,1,0
543,P16,mikhak,15,4,N/A,N/A,6,2,1,2,1,2,999,999,N/A
544,P16,okaliptus,16,6,N/A,N/A,7,2,1,1,7,6,999,999,N/A
545,P41,babune,1,13,N/A,N/A,1,1,1,3,4,1,999,999,N/A
546,P41,zardchube,2,14,zardchube,zardchube,6,7,4,7,2,6,1,1,1
547,P41,na'na,3,9,na'na,na'na,7,7,5,4,7,7,1,1,1
548,P41,limu amani,4,15,limu amuni,limu amuni,5,7,5,7,4,7,1,1,1
549,P41,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,7,7,1,1,1
550,P41,zire,6,11,zire,zire,7,7,7,7,6,7,1,1,1
551,P41,behlimu,7,16,N/A,N/A,7,7,7,7,7,2,999,999,N/A
552,P41,raziyune,8,8,raziyune,raziyune,6,6,5,5,6,3,1,1,1
553,P41,za'ferun,9,7,zafarun,zaferun,6,7,7,7,7,7,1,1,1
554,P41,rozmari,10,3,N/A,N/A,4,5,3,4,4,1,999,999,N/A
555,P41,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
556,P41,ostokhoddus,12,2,N/A,ostokhoddus,6,6,3,6,6,6,999,1,N/A
557,P41,rishmak/shirin bayan,13,1,N/A,N/A,5,4,2,3,4,1,999,999,N/A
558,P41,avishan,14,5,avishan,avishan,6,6,6,7,7,7,1,1,1
559,P41,mikhak,15,4,N/A,N/A,7,6,6,6,6,4,999,999,N/A
560,P41,okaliptus,16,6,okaliptus,okaliptus,7,7,5,6,7,4,1,1,1
561,P45,babune,1,13,babune,babune,6,5,5,5,7,5,1,1,1
562,P45,zardchube,2,14,zardchube,zardchube,7,7,7,7,1,7,1,1,1
563,P45,na'na,3,9,pune,na'na,7,7,7,7,7,7,1,1,1
564,P45,limu amani,4,15,limu amuni,limu amuni,7,7,7,7,2,5,1,1,1
565,P45,bahare naranj,5,10,bahar narenj,bahar naranj,6,7,7,5,1,6,1,1,1
566,P45,zire,6,11,zire,zire,6,7,1,1,3,1,1,1,1
567,P45,behlimu,7,16,N/A,N/A,6,5,4,1,7,1,999,999,N/A
568,P45,raziyune,8,8,N/A,babune,6,5,6,6,7,3,999,0,N/A
569,P45,za'ferun,9,7,hel,N/A,6,1,1,3,3,2,0,999,N/A
570,P45,rozmari,10,3,avishan,N/A,2,3,3,4,7,2,0,999,N/A
571,P45,darchin,11,12,darchin,darchin,7,7,7,7,1,6,1,1,1
572,P45,ostokhoddus,12,2,gole gavzabun,ostokhodus,5,2,1,1,7,1,0,1,0
573,P45,rishmak/shirin bayan,13,1,N/A,N/A,5,6,1,7,3,2,999,999,N/A
574,P45,avishan,14,5,avishan,avishan,7,7,7,2,7,7,1,1,1
575,P45,mikhak,15,4,golpar,N/A,6,6,6,2,5,1,0,999,N/A
576,P45,okaliptus,16,6,pudre limu mamuli,puste limu,4,3,4,6,6,2,0,0,1
577,P47,babune,1,13,N/A,babune,5,7,5,5,7,5,999,1,N/A
578,P47,zardchube,2,14,zardchube,zardchube,7,7,5,7,5,7,1,1,1
579,P47,na'na,3,9,okaliptus,N/A,7,6,5,3,7,3,0,999,N/A
580,P47,limu amani,4,15,N/A,N/A,6,4,4,2,7,4,999,999,N/A
581,P47,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,5,7,1,1,1
582,P47,zire,6,11,zire,zire,7,7,7,7,5,6,1,1,1
583,P47,behlimu,7,16,N/A,zanjefil,6,6,6,6,7,5,999,0,N/A
584,P47,raziyune,8,8,raziyune,raziyune,7,6,7,5,7,4,1,1,1
585,P47,za'ferun,9,7,zaferun,zaferun,7,7,7,7,7,5,1,1,1
586,P47,rozmari,10,3,okaliptus,zardchube,6,7,4,7,3,7,0,0,0
587,P47,darchin,11,12,darchin,darchin,7,7,7,7,5,7,1,1,1
588,P47,ostokhoddus,12,2,mikhak,N/A,6,6,5,3,7,4,0,999,N/A
589,P47,rishmak/shirin bayan,13,1,N/A,N/A,2,2,2,3,2,4,999,999,N/A
590,P47,avishan,14,5,avishan,avishan,7,7,7,7,5,5,1,1,1
591,P47,mikhak,15,4,mikhak,mikhak,7,7,5,2,7,2,1,1,1
592,P47,okaliptus,16,6,ostakhodus,N/A,7,4,5,2,7,4,0,999,N/A
593,P17,babune,1,13,hana,N/A,3,3,3,2,6,1,0,999,N/A
594,P17,zardchube,2,14,zardchube,zardchube,7,7,7,7,7,7,1,1,1
595,P17,na'na,3,9,pune,pune,7,7,7,7,4,6,1,1,1
596,P17,limu amani,4,15,pudre limu amuni,limu amuni,6,6,2,5,4,3,1,1,1
597,P17,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,7,4,1,1,1
598,P17,zire,6,11,zire,zire,7,7,6,7,6,4,1,1,1
599,P17,behlimu,7,16,limu,limu,7,6,3,7,6,5,0,0,1
600,P17,raziyune,8,8,raziyune,raziyune,7,7,4,6,3,3,1,1,1
601,P17,za'ferun,9,7,zaferun,zaferun,7,7,7,7,4,6,1,1,1
602,P17,rozmari,10,3,N/A,N/A,6,5,3,3,1,3,999,999,N/A
603,P17,darchin,11,12,darchin,darchin,7,7,5,6,6,2,1,1,1
604,P17,ostokhoddus,12,2,N/A,N/A,5,3,1,2,4,2,999,999,N/A
605,P17,rishmak/shirin bayan,13,1,ghahve,sose soya,5,3,2,2,1,2,0,0,0
606,P17,avishan,14,5,avishan,avishan,6,7,6,7,6,6,1,1,1
607,P17,mikhak,15,4,mikhak,mikhak,7,7,3,2,7,2,1,1,1
608,P17,okaliptus,16,6,N/A,viks,5,5,2,3,6,4,999,0,N/A
609,P21,babune,1,13,N/A,babune,2,4,5,5,5,3,999,1,N/A
610,P21,zardchube,2,14,zardchube,N/A,6,5,5,5,4,3,1,999,N/A
611,P21,na'na,3,9,nana,sonboltib,6,5,7,5,5,5,1,0,0
612,P21,limu amani,4,15,N/A,sonboltib,4,4,3,1,6,1,999,0,N/A
613,P21,bahare naranj,5,10,gol,bahar naranj,7,7,7,7,5,7,0,1,0
614,P21,zire,6,11,zire,zire,7,7,7,7,7,7,1,1,1
615,P21,behlimu,7,16,N/A,N/A,5,2,5,3,5,1,999,999,N/A
616,P21,raziyune,8,8,N/A,N/A,5,6,5,5,4,4,999,999,N/A
617,P21,za'ferun,9,7,N/A,N/A,3,1,3,4,5,1,999,999,N/A
618,P21,rozmari,10,3,N/A,N/A,4,5,6,3,3,6,999,999,N/A
619,P21,darchin,11,12,somboltib,N/A,5,5,6,5,5,6,0,999,N/A
620,P21,ostokhoddus,12,2,ostokhoddus,N/A,5,5,5,6,5,3,1,999,N/A
621,P21,rishmak/shirin bayan,13,1,N/A,N/A,3,2,1,1,5,1,999,999,N/A
622,P21,avishan,14,5,N/A,N/A,5,5,5,3,5,5,999,999,N/A
623,P21,mikhak,15,4,mikhak,mikhak,7,7,7,7,7,6,1,1,1
624,P21,okaliptus,16,6,barhang,N/A,6,4,5,6,5,4,0,999,N/A
625,P22,babune,1,13,N/A,N/A,7,6,6,4,5,4,999,999,N/A
626,P22,zardchube,2,14,zardchube,N/A,6,7,6,6,5,6,1,999,N/A
627,P22,na'na,3,9,nana,na'na,6,7,7,7,5,6,1,1,1
628,P22,limu amani,4,15,N/A,N/A,6,5,4,5,6,5,999,999,N/A
629,P22,bahare naranj,5,10,N/A,N/A,5,6,5,5,6,4,999,999,N/A
630,P22,zire,6,11,N/A,N/A,6,6,7,5,5,6,999,999,N/A
631,P22,behlimu,7,16,N/A,N/A,6,5,6,5,5,4,999,999,N/A
632,P22,raziyune,8,8,N/A,pune,7,7,6,6,5,6,999,0,N/A
633,P22,za'ferun,9,7,zaferun,zaferun,6,6,7,5,3,4,1,1,1
634,P22,rozmari,10,3,N/A,N/A,5,6,6,6,5,5,999,999,N/A
635,P22,darchin,11,12,darchin,darchin,5,7,6,6,4,5,1,1,1
636,P22,ostokhoddus,12,2,N/A,N/A,7,6,6,5,5,4,999,999,N/A
637,P22,rishmak/shirin bayan,13,1,N/A,N/A,6,6,4,2,5,4,999,999,N/A
638,P22,avishan,14,5,N/A,N/A,6,7,5,5,4,4,999,999,N/A
639,P22,mikhak,15,4,anjir,N/A,7,4,5,2,6,3,0,999,N/A
640,P22,okaliptus,16,6,viks,viks,7,7,5,3,6,3,0,0,1
641,P24,babune,1,13,N/A,N/A,2,1,2,1,6,2,999,999,N/A
642,P24,zardchube,2,14,zardchube,zardchube,5,5,3,4,5,2,1,1,1
643,P24,na'na,3,9,nana,na'na,7,7,6,2,7,6,1,1,1
644,P24,limu amani,4,15,limu amuni,limu amuni,4,2,2,3,6,5,1,1,1
645,P24,bahare naranj,5,10,gole narges,gole sorkh,7,6,7,4,3,6,0,0,0
646,P24,zire,6,11,zire,zire,6,6,6,4,5,6,1,1,1
647,P24,behlimu,7,16,N/A,N/A,5,5,4,2,6,3,999,999,N/A
648,P24,raziyune,8,8,tarkhun,rozmari,7,7,6,5,6,4,0,0,0
649,P24,za'ferun,9,7,zaferun,zaferun,3,5,5,4,6,2,1,1,1
650,P24,rozmari,10,3,N/A,N/A,4,3,3,1,6,1,999,999,N/A
