Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
77,P07,rishmak/shirin bayan,13,1,rishmak,shirin bayan,6,7,5,2,6,7,1,1,1
78,P07,avishan,14,5,avishan,avishan,7,7,7,7,6,7,1,1,1
79,P07,mikhak,15,4,mikhak,mikhak,7,6,7,3,5,7,1,1,1
80,P07,okaliptus,16,6,N/A,N/A,6,3,5,3,3,2,999,999,N/A
81,P08,babune,1,13,badranjbuye,N/A,7,6,5,4,5,5,0,999,N/A
82,P08,zardchube,2,14,zardchube,zardchube,7,7,7,7,4,7,1,1,1
83,P08,na'na,3,9,pune,nana,7,7,7,7,3,7,1,1,1
84,P08,limu amani,4,15,pudre limu,N/A,7,7,5,5,4,6,1,999,N/A
85,P08,bahare naranj,5,10,kakuti,pune,6,6,7,7,5,3,0,0,0
86,P08,zire,6,11,zire,zire,7,7,7,7,5,7,1,1,1
87,P08,behlimu,7,16,pune,N/A,7,7,7,5,6,6,0,999,N/A
88,P08,raziyune,8,8,raziyune,raziune,7,7,7,7,4,7,1,1,1
89,P08,za'ferun,9,7,zaferun,zafarun,7,7,7,7,5,7,1,1,1
90,P08,rozmari,10,3,sarkhargol,rozmari,5,7,7,4,5,6,0,1,0
91,P08,darchin,11,12,darchin,darchin,7,7,7,7,5,7,1,1,1
92,P08,ostokhoddus,12,2,lavender,lavender,6,6,7,7,7,7,1,1,1
93,P08,rishmak/shirin bayan,13,1,rishmak,rishmak,7,7,3,5,7,5,1,1,1
94,P08,avishan,14,5,avishan,avishan,7,7,7,6,6,7,1,1,1
95,P08,mikhak,15,4,mikhak,mikhak,7,6,7,5,7,7,1,1,1
96,P08,okaliptus,16,6,N/A,N/A,7,7,4,1,3,6,999,999,N/A
97,P09,babune,1,13,babune,babune,5,7,6,6,6,7,1,1,1
98,P09,zardchube,2,14,zardchube,zardchube,7,7,6,6,6,7,1,1,1
99,P09,na'na,3,9,nana,nana,5,6,7,6,5,7,1,1,1
100,P09,limu amani,4,15,limu amuni,limu amuni,6,5,5,7,6,6,1,1,1
101,P09,bahare naranj,5,10,bahar narenj,bahar narenj shirazi,6,7,6,7,7,7,1,1,1
102,P09,zire,6,11,zire,zire,5,7,6,7,5,7,1,1,1
103,P09,behlimu,7,16,behlimu,behlimu,7,7,7,7,7,7,1,1,1
104,P09,raziyune,8,8,raziune,raziune,5,6,5,4,7,5,1,1,1
105,P09,za'ferun,9,7,zaferun,zafarun,6,7,7,7,5,7,1,1,1
106,P09,rozmari,10,3,avishan,rozmari,3,6,5,6,7,6,0,1,0
107,P09,darchin,11,12,darchin,darchin,5,7,7,6,6,7,1,1,1
108,P09,ostokhoddus,12,2,lavender,lavender,7,7,7,3,5,7,1,1,1
109,P09,rishmak/shirin bayan,13,1,shirin bayan,rishmak shirin bayan,5,7,5,3,6,4,1,1,1
110,P09,avishan,14,5,avishan,avishan,4,7,6,7,7,7,1,1,1
111,P09,mikhak,15,4,mikhak,mikhak,6,7,4,2,7,6,1,1,1
112,P09,okaliptus,16,6,okaliptus,okaliptus,5,7,7,5,6,4,1,1,1
113,P10,babune,1,13,babune,babune,7,7,7,7,7,7,1,1,1
114,P10,zardchube,2,14,zardchube,zardchube,7,7,3,3,3,7,1,1,1
115,P10,na'na,3,9,nana,nana,7,7,7,7,7,7,1,1,1
116,P10,limu amani,4,15,pudre limu,limu amuni,7,7,5,5,5,7,1,1,1
117,P10,bahare naranj,5,10,bahar narenj,bahar narenj,7,7,7,7,7,7,1,1,1
118,P10,zire,6,11,zire,zire,7,7,7,7,7,7,1,1,1
119,P10,behlimu,7,16,N/A,N/A,7,7,7,7,7,7,999,999,N/A
120,P10,raziyune,8,8,raziune,raziune,6,7,7,6,6,7,1,1,1
121,P10,za'ferun,9,7,zaferun,zafarun,7,7,7,7,7,7,1,1,1
122,P10,rozmari,10,3,okaliptus,zire,7,7,7,6,7,7,0,0,0
123,P10,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
124,P10,ostokhoddus,12,2,ostokhodus,lavender,7,7,7,7,7,7,1,1,1
125,P10,rishmak/shirin bayan,13,1,rishmak,shirin bayan,7,7,7,6,7,7,1,1,1
126,P10,avishan,14,5,avishan,avishan,7,7,7,7,7,7,1,1,1
127,P10,mikhak,15,4,mikhak,mikhak,7,7,7,7,7,7,1,1,1
128,P10,okaliptus,16,6,okaliptus,okaliptus,7,7,7,3,7,2,1,1,1
129,P12,babune,1,13,babune,babune,6,5,7,7,6,5,1,1,1
130,P12,zardchube,2,14,zardchube,zardchube,3,2,4,5,4,3,1,1,1
131,P12,na'na,3,9,nana,nana,6,7,6,7,5,3,1,1,1
132,P12,limu amani,4,15,pudre limu ,pudre limu,4,5,6,7,3,4,1,1,1
133,P12,bahare naranj,5,10,bahar naranj,bahar narenj,6,7,7,6,7,6,1,1,1
134,P12,zire,6,11,zire,zire,4,6,5,7,5,3,1,1,1
135,P12,behlimu,7,16,behlimu,behlimu,7,6,7,5,6,5,1,1,1
136,P12,raziyune,8,8,raziune,raziune,5,4,6,7,6,6,1,1,1
137,P12,za'ferun,9,7,zaferun,zafarun,6,7,6,7,6,5,1,1,1
138,P12,rozmari,10,3,N/A,N/A,5,4,5,5,6,4,999,999,N/A
139,P12,darchin,11,12,darchin,darchin,4,5,6,7,6,6,1,1,1
140,P12,ostokhoddus,12,2,oskhodus,ostokhodus,7,5,6,6,7,7,1,1,1
141,P12,rishmak/shirin bayan,13,1,shirin bayan,shirin bayan,6,7,7,6,7,7,1,1,1
142,P12,avishan,14,5,avishan,avishan,7,6,7,7,7,6,1,1,1
143,P12,mikhak,15,4,mikhak,mikhak,7,6,7,5,6,5,1,1,1
