StimulusID,StimulusType
babune,Medicinal
zardchube,Culinary
na'na,Culinary
limu amani,Culinary
bahare naranj,Culinary
zire,Culinary
behlimu,Medicinal
raziyune,Medicinal
za'ferun,Culinary
rozmari,Medicinal
darchin,Culinary
ostokhoddus,Medicinal
rishmak/shirin bayan,Medicinal
avishan,Culinary
mikhak,Medicinal
okaliptus,Medicinal
