Persian,English
avishan,thyme
babune,chamomile
bahare naranj,orange blos.
behlimu,lemon verb.
darchin,cinnamon
limu amani,dried lime
mikhak,clove
na'na,mint
okaliptus,eucalyptus
ostokhoddus,lavender
raziyune,fennel
rishmak/shirin bayan,liquorice
rozmari,rosemary
za'ferun,saffron
zardchube,turmeric
zire,cumin
